product_id,total_sales,total_quantity
TEC-CO-10004722,61599.824,20
TEC-PH-10004664,30041.5482,52
OFF-BI-10003527,27453.384000000002,31
TEC-MA-10002412,22638.48,6
TEC-PH-10004823,22262.1,39
FUR-CH-10002024,21870.576,39
FUR-CH-10000027,21329.73,50
OFF-AP-10004512,21147.084,38
FUR-TA-10001889,20730.755699999998,48
OFF-BI-10001359,19823.479,37
TEC-MA-10001127,19145.745000000003,17
OFF-BI-10000545,19024.5,48
TEC-CO-10001449,18839.686,38
TEC-PH-10001457,18717.0,30
FUR-BO-10004834,18386.9976,41
OFF-AP-10002330,18247.824,38
OFF-BI-10004995,17965.068,27
FUR-BO-10004679,17433.1098,49
FUR-CH-10002247,17121.2175,41
FUR-BO-10001934,17094.0222,52
OFF-SU-10000151,17030.311999999998,11
TEC-MA-10000822,16829.901,18
TEC-PH-10000303,16796.736,31
FUR-CH-10002213,16703.8956,45
OFF-SU-10002881,16656.2,22
TEC-PH-10004196,16273.2,46
OFF-BI-10001120,15875.916000000001,13
FUR-CH-10000602,15559.362,36
FUR-CH-10003950,15455.8125,37
FUR-CH-10002250,15289.6353,37
TEC-CIS-10002344,15177.386999999999,24
TEC-PH-10002815,15100.096000000001,38
TEC-PH-10002759,14723.448,29
TEC-PH-10001751,14562.81,25
FUR-BO-10004852,14474.868,35
FUR-CH-10002573,14415.0,34
TEC-MA-10001047,14299.89,11
TEC-PH-10003457,14271.936,34
TEC-CIS-10002259,14267.412,33
TEC-PH-10001459,13943.668,39
FUR-CH-10004774,13898.04,44
TEC-PH-10001670,13819.8108,24
TEC-PH-10000160,13809.860999999999,29
TEC-AC-10002049,13756.536,60
TEC-PH-10000030,13715.394,24
TEC-PH-10000169,13552.012,42
TEC-PH-10002623,13215.648000000001,25
TEC-PH-10002601,13209.128999999999,23
TEC-PH-10000018,13086.92,32
TEC-PH-10002885,12996.6,24
FUR-TA-10003473,12995.2915,46
FUR-CH-10001215,12975.382,32
FUR-BO-10002213,12921.643,42
TEC-APP-10002966,12750.0,20
TEC-PH-10000493,12590.625,23
OFF-AP-10003590,12543.96,30
TEC-CO-10003342,12419.5296,40
OFF-ST-10000078,12326.124,74
TEC-PH-10001699,12302.592,22
FUR-CH-10002203,12301.2,30
TEC-PH-10002683,12242.412,23
OFF-ST-10002506,12222.672,72
FUR-TA-10002958,12186.908,42
TEC-PH-10001990,12054.9996,21
FUR-CH-10001415,11765.484,27
OFF-AP-10001623,11728.827,31
OFF-ST-10001758,11702.586,63
TEC-PH-10000780,11658.5568,20
TEC-CO-10003763,11619.834,19
FUR-BO-10003103,11612.188,40
TEC-PH-10003713,11611.467,35
FUR-BO-10004771,11587.468499999999,42
FUR-CH-10004287,11572.78,53
FUR-BO-10001501,11560.527,32
OFF-AP-10000675,11512.224,24
TEC-PH-10002867,11438.928,32
FUR-CH-10000891,11429.788,45
FUR-CH-10003232,11426.115,29
TEC-PH-10002035,11342.25,21
FUR-CH-10000660,11310.5616,27
OFF-AP-10002945,11304.44,40
TEC-PH-10004505,11249.2275,22
TEC-AC-10003832,11203.756,75
FUR-CH-10003941,11175.424,42
TEC-PH-10000499,11169.9522,19
FUR-TA-10001786,11138.9616,30
TEC-PH-10002935,11134.2,20
TEC-MA-10000418,11099.963,9
TEC-PH-10004583,11087.955,19
TEC-PH-10000419,11027.64,26
TEC-APP-10000308,10942.812,21
TEC-CO-10000013,10878.141000000001,39
TEC-AC-10003033,10822.36,35
OFF-AP-10002793,10702.4082,21
FUR-BO-10000567,10638.156,43
FUR-CH-10000454,10637.528,51
TEC-CO-10004997,10609.314,29
FUR-BO-10001471,10537.89,26
TEC-CO-10000447,10528.77,31
TEC-PH-10003002,10422.24,16
OFF-ST-10004377,10409.805,89
TEC-PH-10002774,10392.936,28
FUR-BO-10000728,10384.104,56
FUR-BO-10004999,10371.357,25
TEC-MOT-10003050,10348.758,24
TEC-CO-10002035,10258.1292,30
TEC-PH-10000106,10115.0,25
FUR-BO-10001749,10110.66,27
TEC-PH-10001396,9987.555,17
OFF-AP-10004964,9932.6733,20
FUR-TA-10000198,9917.640000000001,27
OFF-ST-10001547,9862.65,54
TEC-CO-10000137,9861.3144,42
OFF-AP-10003275,9792.4836,34
FUR-BO-10001498,9725.796,40
TEC-PH-10003856,9683.099999999999,15
OFF-AP-10001931,9679.01,27
OFF-ST-10003716,9630.856,47
FUR-BO-10004707,9629.835,32
TEC-CAN-10001437,9617.964,26
FUR-CH-10003746,9615.427,30
TEC-CO-10001818,9546.68056,56
OFF-ST-10003785,9539.262,62
OFF-AP-10002244,9531.7974,20
TEC-CO-10001654,9480.5568,27
FUR-CH-10000974,9386.9502,24
FUR-CH-10002061,9383.9592,26
FUR-CH-10001664,9366.9543,63
OFF-AP-10000407,9304.944,27
OFF-ST-10002900,9301.779,54
TEC-MA-10000488,9279.884,14
TEC-MOT-10000554,9273.312,16
FUR-CH-10003365,9253.5,24
TEC-CO-10004078,9221.5575,34
FUR-BO-10002990,9197.712,27
FUR-BO-10001212,9187.9695,24
OFF-ST-10004459,9158.296,28
TEC-MA-10000161,9135.449999999999,48
FUR-CH-10004095,9124.312,66
TEC-CO-10002526,9113.0028,26
FUR-BO-10001372,9097.65,21
OFF-AP-10003917,9083.019,18
FUR-CH-10003973,9070.944,31
FUR-BO-10002300,9069.312,40
FUR-BO-10000596,9033.306,24
TEC-MOT-10003348,8997.66,16
FUR-CH-10003581,8985.069599999999,22
OFF-ST-10002555,8967.228,53
TEC-CO-10001046,8959.872,16
TEC-CO-10001766,8913.78,29
TEC-CO-10002095,8899.822,21
FUR-SAU-10004653,8894.196,21
FUR-CH-10000885,8886.18,36
TEC-PH-10001817,8878.4,32
FUR-BO-10000210,8797.5288,26
FUR-CH-10001854,8774.5,28
OFF-ST-10002566,8738.46,53
OFF-AP-10002090,8732.2698,18
TEC-AC-10000866,8702.5152,43
FUR-TA-10003954,8674.412,32
FUR-CH-10004063,8665.194,35
OFF-AP-10000729,8659.2768,23
FUR-CH-10000892,8613.36,32
TEC-CO-10000794,8608.3725,28
OFF-ST-10003306,8606.5197,70
OFF-AP-10002252,8603.52,24
TEC-CO-10003102,8550.5352,34
FUR-BO-10002892,8548.998,24
FUR-CH-10002872,8545.4064,21
OFF-ST-10000624,8536.605,79
TEC-PH-10002962,8500.536,14
TEC-PH-10003762,8483.508000000002,16
TEC-CO-10002040,8444.6916,32
FUR-CH-10004086,8430.997,34
FUR-CH-10002891,8412.135,21
FUR-HAR-10002873,8379.36,24
